"","V1","V2","V3","V4","V5","V6"
"1","9533040","41.8819444444444","87.6277777777778","Illinois","Chicago",NA
"2","705686","41.0730555555556","81.5177777777778","Ohio","Akron",NA
"3","1170483","42.6525","73.7572222222222","NY","Albany",NA
"4","6069875","39.7458333333333","75.5466666666667","Delaware","Wilmington",NA
"5","654230","43.0747222222222","89.3841666666667","Wisconsin","Madison",NA
"6","9533040","41.8819444444444","87.6277777777778","Illinois","Chicago",NA
"7","738344","34.7361111111111","92.3311111111111","Arkansas","Little_Rock",NA
"8","2387138","28.54","81.38","Florida","Orlando",NA
"9","4628910","42.3580555555556","71.0636111111111","Massachusetts","Boston",NA
"10","4292060","42.2813888888889","83.7483333333333","Michigan","Ann_Arbor",NA
"11","7233323","32.7791666666667","96.8088888888889","Texas","Dallas",NA
"12","6020864","33.755","84.39","Georgia","Atlanta",NA
"13",NA,NA,NA,NA,NA,NA
"14","2932415","39.7391666666667","104.990277777778","Colorado","Denver",NA
"15","1270530","30.5833333333333","90.1333333333333","Louisiana","New_Orleans",NA
"16","373590","40.7208333333333","89.6094444444444","Illinois","Peoria",NA
"17","13131431","34.05","118.25","California","Los_Angeles",NA
"18","4292060","42.3313888888889","83.0458333333333","Michigan","Detroit",NA
"19","6096120","39.9527777777778","75.1636111111111","Pennsylvania","Philadelphia",NA
"20","2362453","40.4397222222222","79.9763888888889","Pennsylvania","Pittsburgh",NA
"21","1725246","36.9166666666667","76.2","Virginia","Norfolk",NA
"22","1572245","43.0833333333333","88.5833333333333","Wisconsin","Milwaukee",NA
"23","3629190","44.9819444444444","93.2691666666667","Minnesota","Minneapolis",NA
"24","7066141","29.7627777777778","95.3830555555555","Texas","Houston",NA
"25","2143651","39.0997222222222","94.5783333333333","Missouri","Kansas_City",NA
"26","13131431","34.05","118.25","California","Los_Angeles",NA
"27","2137406","39.1","84.5166666666667","Ohio","Cincinnati",NA
"28","2057009","41.4833333333333","81.6666666666667","Ohio","Cleveland",NA
"29","2636883","35.2272222222222","80.8430555555556","NC","Charlotte",NA
"30","19979477","40.753141","73.708444","NY","NY",NA
"31","1214295","41.753679","72.681676","Connecticut","Hartford",NA
"32","7102796","32.73648","97.3408","Texas","Fort_Worth",NA
"33","2227083","30.303195","97.707078","Texas","Austin",NA
"34","2478810","45.4998","122.6885","Oregon","Portland",NA
"35","542710","36.0072","78.9373","NC","Durham",NA
"36","2387138","28.54","81.38","Florida","Orlando",NA
"37","4699","40.9678905","76.6050616","Pennsylvania","Danville",NA
"38","1077370","42.97051","85.66581","Michigan","Grand_Rapids",NA
"39","6133552","38.8575","77.2278","Washington","DC",NA
"40","6158824","25.791525","-80.212575","Florida","Miami",NA
"41","6158824","25.7752777777778","80.2088888888889","Florida","Miami","215"
"42","2870569","27.764495","82.640584","Florida","St_Petersburg","259"
"43","1348260","35.144","90.0325","Tennessee","Menphis","255"
"44","4224851","34.0525","117.264167","California","San_Bernardino","507"
"45","243537","43.653","70.276","Maine","Portland","637"
"46","219802","44.020278","92.481667","Minnesota","Rochester","2059"
"47",NA,NA,NA,NA,NA,NA
"48","19979477","40.790066","73.953249","NY","NY","1141"
"49","548404","32.782455","79.951245","SC","Charleston","279"
"50","2078035","39.953235","82.979359","Ohio","Columbus","673"
"51","2387138","28.376702","81.273605","Florida","Orlando","130"
"52","19979477","40.8397","73.9412","NY","NY","299"
"53","6158824","25.741458","80.294267","Florida","Miami","289"
"54","1265108","38.248444","85.749722","Kentucky","Louisville","300"
"55","1270530","29.963231","90.14537","Louisiana","New_Orleans","767"
"56","577941","40.264096","76.673541","Pennsylvania","Harrisburg","134"
"57","4857962","33.478909","112.041576","Arizona","Phoenix","433"
"58","1222540","40.771111","111.838889","Utah","Salt_Lak_City","289"
"59","573493","47.649","117.413","Washington","Spokane","632"
"60","3338330","32.798056","117.151111","California","San_Digo","524"
"61","2057009","41.504444","81.605833","Ohio","Clevland","244"
"62","2478810","45.5446","122.67","Oregon","Portland","165"
"63","2048703","39.776806","86.179167","Indiana","Indianapolis","354"
"64","3979845","47.662778","122.281667","Washington","Sattle","407"
"65","2807338","38.6212","90.2392","Missouri","St_Louis",NA
"66","6096120","40.0066","75.1245","Pennsylvania","Philadelphia","189"
"67","3097859","27.968056","82.476389","Florida","Tampa",NA
"68","2807338","38.6375","90.2651","Missouri","St_Louis","402"
"69","2500000","38.581667","121.494444","California","Sacramento","242"
"70","7066141","29.7077","95.4016","Texas","Houston","973"
"71","1151801","33.505556","86.806111","Alabama","Birmingham","332"
"72","2802789","39.296251","76.591805","Maryland","Baltimore","1091"
"73","2500000","38.5549","121.4565","California","Sacramento","625"
"74","13131431","34.066351","118.447094","California","Los_Angeles","156"
"75","4729484","37.7647974","122.389903","California","San_Francisco","183"
"76","288212","29.6399","82.3431","Florida","Gainesville","208"
"77",NA,NA,NA,NA,NA,NA
"78","517056","38.0312","84.5074","Kentucky","Lexington",NA
"79","2802789","39.2883","76.6236","Maryland","Baltimore","767"
"80","3629190","44.967222","93.2375","Minnesota","Minneapolis","212"
"81","229304","38.032778","78.49737","Virginia","Charlottesville","106"
"82","862477","41.304354","72.936647","Connecticut","New_Haven","202"
